Year,Player,3p
1979-80                   ,Brian Taylor ,90
1980-81                     , Mike Bratz,57
1981-82                        ,Don Buse,73
1982-83                  , Mike Dunleavy ,67
1983-84               ,Darrell Griffith,91
1984-85                ,Darrell Griffith  ,92
1985-86                     ,Larry Bird,82
1986-87                       , Larry Bird,90
1987-88                      ,Danny Ainge,148
1988-89                  , Michael Adams ,166
1989-90                   ,Michael Adams,158
1990-91                  , Vernon Maxwell,172
1991-92               ,Vernon Maxwell,162
1992-93      ,Reggie Miller,167
1993-94                      ,Dan Majerle,192
1994-95                    , John Starks ,217
1995-96                   , Dennis Scott ,267
1996-97                  ,Reggie Miller,229
1997-98                  , Wesley Person,192
1998-99                     ,  Dee Brown ,135
1999-00                    ,Gary Payton,177
2000-01                 , Antoine Walker ,221
2001-02                      ,Ray Allen,229
2002-03                     , Ray Allen,201
2003-04                , Peja Stojakovic ,240
2004-05   ,Kyle Korver,226
2005-06                      ,Ray Allen,269
2006-07        , Gilbert Arenas,205
2007-08                ,Jason Richardson,243
2008-09                  , Rashard Lewis ,220
2009-10                    ,Aaron Brooks,209
2010-11                  ,Dorell Wright,194
2011-12                   ,Ryan Anderson,166
2012-13                  , Stephen Curry ,272
2013-14                  , Stephen Curry,261
2014-15                   ,Stephen Curry ,286
2015-16                    ,Stephen Curry,402
2016-17                 ,  Stephen Curry,324
2017-18                    ,James Harden ,265
2018-19                   , James Harden ,378
2019-20                   , James Harden ,299
2020-21                  , Stephen Curry,337
